tweet_count,city,body,date,hashtags,link,geo,tokenized,lematized,tweets_str,cleaned
0,New York,@UberEats Promo Code never works for 50%. what do I do,2020-07-14 23:57:38+00:00,,https://twitter.com/FashionsWeek/status/1283188939352944640,,"['@', 'UberEats', 'Promo', 'Code', 'never', 'works', 'for', '50', '%', '.', 'what', 'do', 'I', 'do']","['@', 'UberEats', 'Promo', 'Code', 'never', 'work', 'for', '50', '%', '.', 'what', 'do', 'I', 'do']","@,UberEats,Promo,Code,never,work,for,50,%,.,what,do,I,do","@,UberEats,Promo,Code,never,work,,50,%,.,,,I,"
1,New York,Yea they’re terrible smh. @UberEats @Uber_Support,2020-07-14 23:36:33+00:00,,https://twitter.com/kensthetic_/status/1283183634099441666,,"['Yea', 'they', '’', 're', 'terrible', 'smh', '.', '@', 'UberEats', '@', 'Uber_Support']","['Yea', 'they', '’', 're', 'terrible', 'smh', '.', '@', 'UberEats', '@', 'Uber_Support']","Yea,they,’,re,terrible,smh,.,@,UberEats,@,Uber_Support","Yea,,’,,terrible,smh,.,@,UberEats,@,Uber_Support"
2,New York,@UberEats when are you coming to upstate ny?,2020-07-14 23:33:33+00:00,,https://twitter.com/Thebobover/status/1283182880395599872,,"['@', 'UberEats', 'when', 'are', 'you', 'coming', 'to', 'upstate', 'ny', '?']","['@', 'UberEats', 'when', 'be', 'you', 'come', 'to', 'upstate', 'ny', '?']","@,UberEats,when,be,you,come,to,upstate,ny,?","@,UberEats,,,,come,,upstate,ny,?"
3,New York,@diginn why does the dig inn app and @UberEats have different menus for what is offered in the store? Missing that asparagus 😢,2020-07-14 23:30:41+00:00,,https://twitter.com/Hot4TaterTots/status/1283182158773981190,,"['@', 'diginn', 'why', 'does', 'the', 'dig', 'inn', 'app', 'and', '@', 'UberEats', 'have', 'different', 'menus', 'for', 'what', 'is', 'offered', 'in', 'the', 'store', '?', 'Missing', 'that', 'asparagus', '😢']","['@', 'diginn', 'why', 'do', 'the', 'dig', 'inn', 'app', 'and', '@', 'UberEats', 'have', 'different', 'menu', 'for', 'what', 'be', 'offer', 'in', 'the', 'store', '?', 'Missing', 'that', 'asparagus', '😢']","@,diginn,why,do,the,dig,inn,app,and,@,UberEats,have,different,menu,for,what,be,offer,in,the,store,?,Missing,that,asparagus,😢","@,diginn,,,,dig,inn,app,,@,UberEats,,different,menu,,,,offer,,,store,?,Missing,,asparagus,😢"
4,New York,For my brother to have his Uber job back! He has been such a dedicated delivery guy for years with a 98% rating and Uber fires him based on a single customer’s unverified complaint!!! He is crushed! He took his job seriously but Uber did not even give him a single chance. So sad!,2020-07-14 23:04:47+00:00,,https://twitter.com/Rayofshine69/status/1283175638388617217,,"['For', 'my', 'brother', 'to', 'have', 'his', 'Uber', 'job', 'back', '!', 'He', 'has', 'been', 'such', 'a', 'dedicated', 'delivery', 'guy', 'for', 'years', 'with', 'a', '98', '%', 'rating', 'and', 'Uber', 'fires', 'him', 'based', 'on', 'a', 'single', 'customer', '’', 's', 'unverified', 'complaint', '!', '!', '!', 'He', 'is', 'crushed', '!', 'He', 'took', 'his', 'job', 'seriously', 'but', 'Uber', 'did', 'not', 'even', 'give', 'him', 'a', 'single', 'chance', '.', 'So', 'sad', '!']","['For', 'my', 'brother', 'to', 'have', 'his', 'Uber', 'job', 'back', '!', 'He', 'have', 'be', 'such', 'a', 'dedicated', 'delivery', 'guy', 'for', 'year', 'with', 'a', '98', '%', 'rating', 'and', 'Uber', 'fire', 'him', 'base', 'on', 'a', 'single', 'customer', '’', 's', 'unverified', 'complaint', '!', '!', '!', 'He', 'be', 'crushed', '!', 'He', 'take', 'his', 'job', 'seriously', 'but', 'Uber', 'do', 'not', 'even', 'give', 'him', 'a', 'single', 'chance', '.', 'So', 'sad', '!']","For,my,brother,to,have,his,Uber,job,back,!,He,have,be,such,a,dedicated,delivery,guy,for,year,with,a,98,%,rating,and,Uber,fire,him,base,on,a,single,customer,’,s,unverified,complaint,!,!,!,He,be,crushed,!,He,take,his,job,seriously,but,Uber,do,not,even,give,him,a,single,chance,.,So,sad,!","For,,brother,,,,Uber,job,back,!,He,,,,,dedicated,delivery,guy,,year,,,98,%,rating,,Uber,fire,,base,,,single,customer,’,,unverified,complaint,!,!,!,He,,crushed,!,He,take,,job,seriously,,Uber,,,even,give,,,single,chance,.,So,sad,!"
5,New York,#RT @Manh8tan: RT @NewBoldNewYork: Hungry? Get $5 off your first 3 Uber Eats orders of $15 or more. Terms apply. Use my code at checkout: eats-justinn9433ue http://ubr.to/EatsGiveGet,2020-07-14 22:59:10+00:00,#RT,https://twitter.com/NewBoldNewYork/status/1283174225914867712,,"['#', 'RT', '@', 'Manh8tan', ':', 'RT', '@', 'NewBoldNewYork', ':', 'Hungry', '?', 'Get', '$', '5', 'off', 'your', 'first', '3', 'Uber', 'Eats', 'orders', 'of', '$', '15', 'or', 'more', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-justinn9433ue', 'http', ':', '//ubr.to/EatsGiveGet']","['#', 'RT', '@', 'Manh8tan', ':', 'RT', '@', 'NewBoldNewYork', ':', 'Hungry', '?', 'Get', '$', '5', 'off', 'your', 'first', '3', 'Uber', 'Eats', 'order', 'of', '$', '15', 'or', 'more', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-justinn9433ue', 'http', ':', '//ubr.to/EatsGiveGet']","#,RT,@,Manh8tan,:,RT,@,NewBoldNewYork,:,Hungry,?,Get,$,5,off,your,first,3,Uber,Eats,order,of,$,15,or,more,.,Terms,apply,.,Use,my,code,at,checkout,:,eats-justinn9433ue,http,:,//ubr.to/EatsGiveGet","#,RT,@,Manh8tan,:,RT,@,NewBoldNewYork,:,Hungry,?,Get,$,5,,,first,3,Uber,Eats,order,,$,15,,,.,Terms,apply,.,Use,,code,,checkout,:,eats-justinn9433ue,http,:,//ubr./EatsGiveGet"
6,New York,The amount of money I spend on Uber eats is ridiculous,2020-07-14 22:29:54+00:00,,https://twitter.com/dirtytreesh1/status/1283166863300722688,,"['The', 'amount', 'of', 'money', 'I', 'spend', 'on', 'Uber', 'eats', 'is', 'ridiculous']","['The', 'amount', 'of', 'money', 'I', 'spend', 'on', 'Uber', 'eats', 'be', 'ridiculous']","The,amount,of,money,I,spend,on,Uber,eats,be,ridiculous","The,amount,,money,I,spend,,Uber,eats,,ridiculous"
7,New York,Happy Tuesday! WE ARE OPEN! 2PM-1AM! 🏖SIDEWALK &amp; CURBSIDE DINING! 🍽FOOD &amp; DRINKS TO GO! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens… https://www.instagram.com/p/CCo3qKSHdkk/?igshid=1idi1bv3ovbhw,2020-07-14 22:04:17+00:00,#UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens,https://twitter.com/FlamingoMantra/status/1283160413371236358,,"['Happy', 'Tuesday', '!', 'WE', 'ARE', 'OPEN', '!', '2PM-1AM', '!', '🏖SIDEWALK', '&', 'amp', ';', 'CURBSIDE', 'DINING', '!', '🍽FOOD', '&', 'amp', ';', 'DRINKS', 'TO', 'GO', '!', '.', '✅FIND', 'US', 'ON', '#', 'UBEREATS', '&', 'amp', ';', '#', 'GRUBHUB', 'OR', 'CALL', 'TO', 'ORDER', 'YOUR', '#', 'TAKEOUT', ':', '718.835.1000', '!', '.', '#', 'flamingorestaurant', '#', 'mantralounge', '#', 'queens…', 'https', ':', '//www.instagram.com/p/CCo3qKSHdkk/', '?', 'igshid=1idi1bv3ovbhw']","['Happy', 'Tuesday', '!', 'WE', 'ARE', 'OPEN', '!', '2PM-1AM', '!', '🏖SIDEWALK', '&', 'amp', ';', 'CURBSIDE', 'DINING', '!', '🍽FOOD', '&', 'amp', ';', 'DRINKS', 'TO', 'GO', '!', '.', '✅FIND', 'US', 'ON', '#', 'UBEREATS', '&', 'amp', ';', '#', 'GRUBHUB', 'OR', 'CALL', 'TO', 'ORDER', 'YOUR', '#', 'TAKEOUT', ':', '718.835.1000', '!', '.', '#', 'flamingorestaurant', '#', 'mantralounge', '#', 'queens…', 'http', ':', '//www.instagram.com/p/CCo3qKSHdkk/', '?', 'igshid=1idi1bv3ovbhw']","Happy,Tuesday,!,WE,ARE,OPEN,!,2PM-1AM,!,🏖SIDEWALK,&,amp,;,CURBSIDE,DINING,!,🍽FOOD,&,amp,;,DRINKS,TO,GO,!,.,✅FIND,US,ON,#,UBEREATS,&,amp,;,#,GRUBHUB,OR,CALL,TO,ORDER,YOUR,#,TAKEOUT,:,718.835.1000,!,.,#,flamingorestaurant,#,mantralounge,#,queens…,http,:,//www.instagram.com/p/CCo3qKSHdkk/,?,igshid=1idi1bv3ovbhw","Happy,Tuesday,!,WE,ARE,OPEN,!,2PM-1AM,!,🏖SIDEWALK,&,amp,;,CURBSIDE,DINING,!,🍽FOOD,&,amp,;,DRINKS,TO,GO,!,.,✅FIND,US,ON,#,UBEREATS,&,amp,;,#,GRUBHUB,OR,CALL,TO,ORDER,YOUR,#,TAKEOUT,:,718.835.1000,!,.,#,flamingorestaurant,#,mantralounge,#,queens…,http,:,//www.instagram.com/p/CCo3qKSHdkk/,?,igshid=1idi1bv3ovbhw"
8,New York,"Just had a conversation with a person I will never speak to again because they said they don’t tip Uber Eats drivers. If you’re not tipping AT LEAST 25% in a pandemic, you’re a shithead",2020-07-14 21:53:43+00:00,,https://twitter.com/MediumSizeMeech/status/1283157756510380033,,"['Just', 'had', 'a', 'conversation', 'with', 'a', 'person', 'I', 'will', 'never', 'speak', 'to', 'again', 'because', 'they', 'said', 'they', 'don', '’', 't', 'tip', 'Uber', 'Eats', 'drivers', '.', 'If', 'you', '’', 're', 'not', 'tipping', 'AT', 'LEAST', '25', '%', 'in', 'a', 'pandemic', ',', 'you', '’', 're', 'a', 'shithead']","['Just', 'have', 'a', 'conversation', 'with', 'a', 'person', 'I', 'will', 'never', 'speak', 'to', 'again', 'because', 'they', 'say', 'they', 'don', '’', 't', 'tip', 'Uber', 'Eats', 'driver', '.', 'If', 'you', '’', 're', 'not', 'tip', 'AT', 'LEAST', '25', '%', 'in', 'a', 'pandemic', ',', 'you', '’', 're', 'a', 'shithead']","Just,have,a,conversation,with,a,person,I,will,never,speak,to,again,because,they,say,they,don,’,t,tip,Uber,Eats,driver,.,If,you,’,re,not,tip,AT,LEAST,25,%,in,a,pandemic,,,you,’,re,a,shithead","Just,,,conversation,,,person,I,,never,speak,,,,,say,,,’,,tip,Uber,Eats,driver,.,If,,’,,,tip,AT,LEAST,25,%,,,pandemic,,,,’,,,shithead"
9,New York,"The Uber Eats guy came to my door and said “Yo son, I was wondering who was playing that ghetto ass music when I walked up” 😭 At this point I’m not even embarrassed. Everybody knows. 😂",2020-07-14 21:25:11+00:00,,https://twitter.com/PapaPete_/status/1283150576369500161,,"['The', 'Uber', 'Eats', 'guy', 'came', 'to', 'my', 'door', 'and', 'said', '“', 'Yo', 'son', ',', 'I', 'was', 'wondering', 'who', 'was', 'playing', 'that', 'ghetto', 'ass', 'music', 'when', 'I', 'walked', 'up', '”', '😭', 'At', 'this', 'point', 'I', '’', 'm', 'not', 'even', 'embarrassed', '.', 'Everybody', 'knows', '.', '😂']","['The', 'Uber', 'Eats', 'guy', 'come', 'to', 'my', 'door', 'and', 'say', '“', 'Yo', 'son', ',', 'I', 'be', 'wonder', 'who', 'be', 'play', 'that', 'ghetto', 'as', 'music', 'when', 'I', 'walk', 'up', '”', '😭', 'At', 'this', 'point', 'I', '’', 'm', 'not', 'even', 'embarrass', '.', 'Everybody', 'know', '.', '😂']","The,Uber,Eats,guy,come,to,my,door,and,say,“,Yo,son,,,I,be,wonder,who,be,play,that,ghetto,as,music,when,I,walk,up,”,😭,At,this,point,I,’,m,not,even,embarrass,.,Everybody,know,.,😂","The,Uber,Eats,guy,come,,,door,,say,“,Yo,son,,,I,,wonder,,,play,,ghetto,,music,,I,walk,,”,😭,At,,point,I,’,,,even,embarrass,.,Everybody,know,.,😂"
