tweet_count,city,body,date,hashtags,link,geo
0,New York,@UberEats Promo Code never works for 50%. what do I do,2020-07-14 23:57:38+00:00,,https://twitter.com/FashionsWeek/status/1283188939352944640,
1,New York,Yea they’re terrible smh. @UberEats @Uber_Support,2020-07-14 23:36:33+00:00,,https://twitter.com/kensthetic_/status/1283183634099441666,
2,New York,@UberEats when are you coming to upstate ny?,2020-07-14 23:33:33+00:00,,https://twitter.com/Thebobover/status/1283182880395599872,
3,New York,@diginn why does the dig inn app and @UberEats have different menus for what is offered in the store? Missing that asparagus 😢,2020-07-14 23:30:41+00:00,,https://twitter.com/Hot4TaterTots/status/1283182158773981190,
4,New York,For my brother to have his Uber job back! He has been such a dedicated delivery guy for years with a 98% rating and Uber fires him based on a single customer’s unverified complaint!!! He is crushed! He took his job seriously but Uber did not even give him a single chance. So sad!,2020-07-14 23:04:47+00:00,,https://twitter.com/Rayofshine69/status/1283175638388617217,
5,New York,#RT @Manh8tan: RT @NewBoldNewYork: Hungry? Get $5 off your first 3 Uber Eats orders of $15 or more. Terms apply. Use my code at checkout: eats-justinn9433ue http://ubr.to/EatsGiveGet,2020-07-14 22:59:10+00:00,#RT,https://twitter.com/NewBoldNewYork/status/1283174225914867712,
6,New York,The amount of money I spend on Uber eats is ridiculous,2020-07-14 22:29:54+00:00,,https://twitter.com/dirtytreesh1/status/1283166863300722688,
7,New York,Happy Tuesday! WE ARE OPEN! 2PM-1AM! 🏖SIDEWALK &amp; CURBSIDE DINING! 🍽FOOD &amp; DRINKS TO GO! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens… https://www.instagram.com/p/CCo3qKSHdkk/?igshid=1idi1bv3ovbhw,2020-07-14 22:04:17+00:00,#UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens,https://twitter.com/FlamingoMantra/status/1283160413371236358,
8,New York,"Just had a conversation with a person I will never speak to again because they said they don’t tip Uber Eats drivers. If you’re not tipping AT LEAST 25% in a pandemic, you’re a shithead",2020-07-14 21:53:43+00:00,,https://twitter.com/MediumSizeMeech/status/1283157756510380033,
9,New York,"The Uber Eats guy came to my door and said “Yo son, I was wondering who was playing that ghetto ass music when I walked up” 😭 At this point I’m not even embarrassed. Everybody knows. 😂",2020-07-14 21:25:11+00:00,,https://twitter.com/PapaPete_/status/1283150576369500161,
10,New York,am I the only one that thinks @UberEats is literally the worst food delivery service?,2020-07-14 21:12:50+00:00,,https://twitter.com/SeanAikens/status/1283147465303171072,
11,New York,You rich! I could only afford delivery once all quarantine... an that’s because someone else paid for it,2020-07-14 20:58:43+00:00,,https://twitter.com/BretonyBoheme/status/1283143914690674688,
12,New York,The Uber eats guys are dead the worst ,2020-07-14 20:54:22+00:00,,https://twitter.com/meganmtz9/status/1283142818781945857,
13,New York,"🍟 @UberEats shares a report about ordering during COVID-19 times, detailing... » which states are most polite » how there's an uptick in people needing extra sauce » more: https://bit.ly/2DHQgIm",2020-07-14 20:49:23+00:00,,https://twitter.com/Complex/status/1283141563669938181,
14,New York,"For why am I a powdered donut? A powdered jelly donut? Because, then we’re talking",2020-07-14 20:49:03+00:00,,https://twitter.com/lucydimarino/status/1283141483214909440,
15,New York,@UberEats @Uber_Support customer service is by far the one of the worse I’ve dealt with. Btw I’m jay not Justin but your customer service reps don’t care enough to even look at who they speak to before the send that auto junk msg,2020-07-14 20:34:23+00:00,,https://twitter.com/LynxDesignz/status/1283137788746117122,
16,New York,@UberEats Please tell me why the food order i placed in Manhattan is making a delivery on the way.... in the BRONX and not stopping in Manhattan first? make it make sense,2020-07-14 20:06:21+00:00,,https://twitter.com/__ashleyfowler/status/1283130737831694337,
17,New York,Chris Paul when he sees the Uber Eats guy pull up ,2020-07-14 19:50:25+00:00,,https://twitter.com/RealSportFiend/status/1283126726382555136,
18,New York,"🥬 Verde que te quiero verde! 🥬 In summer we love fresh ensaladas, and this one with romaine, tomato, Spanish white tuna, mayonnaise, piparras, and pasta is delicious! Pass by El Chiringuito at Little Spain, or choose takeout through @caviar, @doordash, @ubereats, or @toasttab.",2020-07-14 19:43:02+00:00,,https://twitter.com/little_spain/status/1283124869362843655,
19,New York,"Me, pondering my Uber eats meal choices: ",2020-07-14 19:40:10+00:00,,https://twitter.com/lexthegreatt_/status/1283124147552428038,
20,New York,I swear Uber Eats is really pissing me off,2020-07-14 19:36:56+00:00,,https://twitter.com/JessMariee6/status/1283123332544634882,
