username,location,text
yumenoshima,"Tokyo,Japan",Tenya Nakano Store have been  vanished in UberEats App...? https://t.co/GcrIhP3EgF
ShivaIndianCuis,Prahran,@rasikv @drtushar No sir we are not on UberEats ! They take 35% commision and their drivers don’t care about handling the food.
fifail,Earth,Ah shit the guy delivering my UberEATS is the same guy who delivered last time I ordered. How do I select a different delivery guy? Help.
ShieldVoC,"Stockholm, Sweden",RT @TheNewbWriter: Can someone help me or is your system just absolute garbage??? I’ve been waiting on my food for nearly an hour now and I…
tropicsyogurt,not in a woman's business,RT @sgretributionv5: Guy has been outside this primary school for like ten mins now. Explain? @UberEats https://t.co/70kZXpAZyh
AlexandraOh4,,@EmadQaruty @UberEats Me too. They stole £35 from me. 😠 @UberEats @Uber @Uber_Support
sgretributionv5,,RT @SixDoinks: @sgretributionv5 @UberEats LMFAOOOOO
SixDoinks,"Baltimore, MD",@sgretributionv5 @UberEats LMFAOOOOO
MJCMATSELL,Dagenham Essex London ,@UberEats I get sent a promo £15 off when I spend £15 yet it’s saying I’m not eligible how’s that make sense I’ve got until 21st of July
DEPLORABLEREEG1,So Cal,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Innocent_59,Sandton,@Mosco66154058 @Oley_Mnqai @Mthiya_SA @KFCSA KFC &amp; @UberEats cannot coordinate at all
robchromecast,everywhere,Hungry? Get £10 off your first Uber Eats order of £15 or more. Terms apply. Use my code at checkout: eats-p3dt3v   https://t.co/h4IT2xRjVs
CimmerianHeart,"Houston, TX",The awkward moment your Ubereats driver is someone you went to school with and have on social media lmao.
briglebe,"Brooklyn, NY",12 hrs later i’m still amazed that ubereats/popeyes got my order to my apartment in literally 12 minutes yesterday.… https://t.co/QTzZeCJTHb
Uber_Support,Global,"@sannanorth Hi Sanna, we are happy to help. Please follow our support page: https://t.co/Klq4Q5Xse5 so our Uber Eat… https://t.co/5c6iQCb1xa"
Rew_Writes,"Womindjeka/Melbourne, Victoria",@Ro_Smith @ElPrezAU If it turns out the secret to lockdowns holding and overcoming the virus is extending the UberEats range..
TheNewbWriter,"California, USA",Can someone help me or is your system just absolute garbage??? I’ve been waiting on my food for nearly an hour now… https://t.co/rxbzSCTyuu
stoned_takeaway,"6 Parliament street , Dublin 2",20% off all weekend. @UberEats @stoned_takeaway code : stoned20 https://t.co/kYKphM4Soe
Uber_Support,Global,"@Vipez_97 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
BeatOfNBA,,"10 dollars off your UberEats order plus free delivery. Use code: eats-jahe99ui

#ubereats #uber #ubereatspromocode… https://t.co/fDmvhZ1PGz"
noa_channnn,,UberEATS！！ https://t.co/L16MvKMeHi
Uber_Support,Global,"@ximena_bh1 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
FunTimeBobby14,,@UberEats someone is using my address by accident
baredd86,Earth,@UberEats why am I being forced to tip if I want to do a collection order? I thought a tip wa optional not mandatory...
Uber_Support,Global,"@MyNewView1 Hi there, we are happy to help. Please follow our support page: https://t.co/UcYioiIpLx so our Uber Eat… https://t.co/8Q9HhQ6e82"
missmwhitton_,"Hobart, Tasmania",Footy + UberEats = Perfect Saturday night.
Durian_2020,Australia,"That's one expensive Butter Chicken. $1,652 fine. Fucking #COVIDIOTS, heard of Ubereats?
#COVID19Vic #COVID19

https://t.co/mQ27Hn13IF"
Uber_Support,Global,"@ThePostTruthEra Hi Aristo, we are happy to help. Please follow our support page: https://t.co/fNd4WZ5CNG so our Ub… https://t.co/CXkf2uAAgj"
Uber_Support,Global,"@cnrdzh Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
DealsHeaven4u,United States,"Use LYFT code MIGUELT10 for first rides FREE up to $50! 🚙

Use UberEats promo eats-miguelt10 for $10 off first food… https://t.co/hgosiOND5v"
perpetuel6,,@0lIIIlOI0lIl0I @dianakennedy @PHsansE @RasLeScoot @David_Belliard @Anne_Hidalgo @ubereats_fr @Deliveroo_FR se fassent*
TraceyA15469893,,RT @Gary7Lapping: Anyone else had problems with @UberEats? App crashed for my wife while making an order so I made the same order myself. E…
