tweet_count,city,body,date,hashtags,link,geo,tokenized,cleaned,predicted,pos,neg,neu,compound,sentiment
0,New York,@UberEats Promo Code never works for 50%. what do I do,2020-07-14 23:57:38+00:00,,https://twitter.com/FashionsWeek/status/1283188939352944640,,"['@', 'UberEats', 'Promo', 'Code', 'never', 'works', 'for', '50', '%', '.', 'what', 'do', 'I', 'do']","['ubereats', 'promo', 'code', 'never', 'work', '50']",Positive,0.0,0.0,1.0,0.0,Positive
1,New York,Yea they’re terrible smh. @UberEats @Uber_Support,2020-07-14 23:36:33+00:00,,https://twitter.com/kensthetic_/status/1283183634099441666,,"['Yea', 'they', '’', 're', 'terrible', 'smh', '.', '@', 'UberEats', '@', 'Uber_Support']","['yea', '’', 'terrible', 'smh', 'ubereats', 'uber_support']",Negative,0.0,0.574,0.426,-0.6597,Negative
2,New York,@UberEats when are you coming to upstate ny?,2020-07-14 23:33:33+00:00,,https://twitter.com/Thebobover/status/1283182880395599872,,"['@', 'UberEats', 'when', 'are', 'you', 'coming', 'to', 'upstate', 'ny', '?']","['ubereats', 'come', 'upstate', 'ny']",Negative,0.0,0.0,1.0,0.0,Positive
3,New York,@diginn why does the dig inn app and @UberEats have different menus for what is offered in the store? Missing that asparagus 😢,2020-07-14 23:30:41+00:00,,https://twitter.com/Hot4TaterTots/status/1283182158773981190,,"['@', 'diginn', 'why', 'does', 'the', 'dig', 'inn', 'app', 'and', '@', 'UberEats', 'have', 'different', 'menus', 'for', 'what', 'is', 'offered', 'in', 'the', 'store', '?', 'Missing', 'that', 'asparagus', '😢']","['diginn', 'dig', 'inn', 'app', 'ubereats', 'different', 'menu', 'offer', 'store', 'missing', 'asparagus', '😢']",Negative,0.0,0.306,0.694,-0.6486,Negative
4,New York,For my brother to have his Uber job back! He has been such a dedicated delivery guy for years with a 98% rating and Uber fires him based on a single customer’s unverified complaint!!! He is crushed! He took his job seriously but Uber did not even give him a single chance. So sad!,2020-07-14 23:04:47+00:00,,https://twitter.com/Rayofshine69/status/1283175638388617217,,"['For', 'my', 'brother', 'to', 'have', 'his', 'Uber', 'job', 'back', '!', 'He', 'has', 'been', 'such', 'a', 'dedicated', 'delivery', 'guy', 'for', 'years', 'with', 'a', '98', '%', 'rating', 'and', 'Uber', 'fires', 'him', 'based', 'on', 'a', 'single', 'customer', '’', 's', 'unverified', 'complaint', '!', '!', '!', 'He', 'is', 'crushed', '!', 'He', 'took', 'his', 'job', 'seriously', 'but', 'Uber', 'did', 'not', 'even', 'give', 'him', 'a', 'single', 'chance', '.', 'So', 'sad', '!']","['brother', 'uber', 'job', 'back', 'dedicated', 'delivery', 'guy', 'year', '98', 'rating', 'uber', 'fire', 'base', 'single', 'customer', '’', 'unverified', 'complaint', 'crushed', 'take', 'job', 'seriously', 'uber', 'even', 'give', 'single', 'chance', 'sad']",Negative,0.136,0.322,0.542,-0.7375,Negative
5,New York,#RT @Manh8tan: RT @NewBoldNewYork: Hungry? Get $5 off your first 3 Uber Eats orders of $15 or more. Terms apply. Use my code at checkout: eats-justinn9433ue http://ubr.to/EatsGiveGet,2020-07-14 22:59:10+00:00,#RT,https://twitter.com/NewBoldNewYork/status/1283174225914867712,,"['#', 'RT', '@', 'Manh8tan', ':', 'RT', '@', 'NewBoldNewYork', ':', 'Hungry', '?', 'Get', '$', '5', 'off', 'your', 'first', '3', 'Uber', 'Eats', 'orders', 'of', '$', '15', 'or', 'more', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-justinn9433ue', 'http', ':', '//ubr.to/EatsGiveGet']","['rt', 'manh8tan', 'rt', 'newboldnewyork', 'hungry', 'get', '5', 'first', '3', 'uber', 'eats', 'order', '15', 'terms', 'apply', 'use', 'code', 'checkout', 'eats-justinn9433ue', 'http', '//ubr.to/eatsgiveget']",Positive,0.0,0.0,1.0,0.0,Positive
6,New York,Happy Tuesday! WE ARE OPEN! 2PM-1AM! 🏖SIDEWALK &amp; CURBSIDE DINING! 🍽FOOD &amp; DRINKS TO GO! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens… https://www.instagram.com/p/CCo3qKSHdkk/?igshid=1idi1bv3ovbhw,2020-07-14 22:04:17+00:00,#UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens,https://twitter.com/FlamingoMantra/status/1283160413371236358,,"['Happy', 'Tuesday', '!', 'WE', 'ARE', 'OPEN', '!', '2PM-1AM', '!', '🏖SIDEWALK', '&', 'amp', ';', 'CURBSIDE', 'DINING', '!', '🍽FOOD', '&', 'amp', ';', 'DRINKS', 'TO', 'GO', '!', '.', '✅FIND', 'US', 'ON', '#', 'UBEREATS', '&', 'amp', ';', '#', 'GRUBHUB', 'OR', 'CALL', 'TO', 'ORDER', 'YOUR', '#', 'TAKEOUT', ':', '718.835.1000', '!', '.', '#', 'flamingorestaurant', '#', 'mantralounge', '#', 'queens…', 'https', ':', '//www.instagram.com/p/CCo3qKSHdkk/', '?', 'igshid=1idi1bv3ovbhw']","['happy', 'tuesday', 'open', '2pm-1am', '🏖sidewalk', 'amp', 'curbside', 'dining', '🍽food', 'amp', 'drinks', 'go', '✅find', 'us', 'ubereats', 'amp', 'grubhub', 'call', 'order', 'takeout', '718.835.1000', 'flamingorestaurant', 'mantralounge', 'queens…', 'http', '//www.instagram.com/p/cco3qkshdkk/', 'igshid=1idi1bv3ovbhw']",Positive,0.089,0.0,0.911,0.5719,Positive
7,New York,"Just had a conversation with a person I will never speak to again because they said they don’t tip Uber Eats drivers. If you’re not tipping AT LEAST 25% in a pandemic, you’re a shithead",2020-07-14 21:53:43+00:00,,https://twitter.com/MediumSizeMeech/status/1283157756510380033,,"['Just', 'had', 'a', 'conversation', 'with', 'a', 'person', 'I', 'will', 'never', 'speak', 'to', 'again', 'because', 'they', 'said', 'they', 'don', '’', 't', 'tip', 'Uber', 'Eats', 'drivers', '.', 'If', 'you', '’', 're', 'not', 'tipping', 'AT', 'LEAST', '25', '%', 'in', 'a', 'pandemic', ',', 'you', '’', 're', 'a', 'shithead']","['conversation', 'person', 'never', 'speak', 'say', '’', 'tip', 'uber', 'eats', 'driver', '’', 'tip', 'least', '25', 'pandemic', '’', 'shithead']",Negative,0.0,0.204,0.796,-0.6249,Negative
8,New York,"The Uber Eats guy came to my door and said “Yo son, I was wondering who was playing that ghetto ass music when I walked up” 😭 At this point I’m not even embarrassed. Everybody knows. 😂",2020-07-14 21:25:11+00:00,,https://twitter.com/PapaPete_/status/1283150576369500161,,"['The', 'Uber', 'Eats', 'guy', 'came', 'to', 'my', 'door', 'and', 'said', '“', 'Yo', 'son', ',', 'I', 'was', 'wondering', 'who', 'was', 'playing', 'that', 'ghetto', 'ass', 'music', 'when', 'I', 'walked', 'up', '”', '😭', 'At', 'this', 'point', 'I', '’', 'm', 'not', 'even', 'embarrassed', '.', 'Everybody', 'knows', '.', '😂']","['uber', 'eats', 'guy', 'come', 'door', 'say', '“', 'yo', 'son', 'wonder', 'play', 'ghetto', 'music', 'walk', '”', '😭', 'point', '’', 'even', 'embarrass', 'everybody', 'know', '😂']",Negative,0.157,0.183,0.66,-0.0,Positive
9,New York,am I the only one that thinks @UberEats is literally the worst food delivery service?,2020-07-14 21:12:50+00:00,,https://twitter.com/SeanAikens/status/1283147465303171072,,"['am', 'I', 'the', 'only', 'one', 'that', 'thinks', '@', 'UberEats', 'is', 'literally', 'the', 'worst', 'food', 'delivery', 'service', '?']","['one', 'think', 'ubereats', 'literally', 'bad', 'food', 'delivery', 'service']",Negative,0.0,0.333,0.667,-0.5423,Negative
